shape,colourshape,picture,correctAns,loops.thisRepN,loops.thisTrialN,loops.thisN,loops.thisIndex,newname.thisRepN,newname.thisTrialN,newname.thisN,newname.thisIndex,rules.started,rules.stopped,begin.keys,begin.rt,begin.started,begin.stopped,shapeResp.keys,shapeResp.rt,shapeResp.started,shapeResp.stopped,cross.started,cross.stopped,image.started,image.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,cros2.started,cros2.stopped,dimResp.keys,dimResp.rt,dimResp.started,dimResp.stopped,opaque.started,opaque.stopped,ending.started,ending.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,17.116430700058118,None,space,14.77938159997575,17.116430700058118,None,,,,,,,,,,,,,,,,,,,,,,,,,10,001,2021_Dec_01_1445,ShapeDimExp,2021.2.3,60.247024866689465,
circle,square.png,circledim.png,right,0,0,0,10,,,,,,,,,,,left,0.736279500182718,32.45791140012443,None,31.957264400087297,32.35949830012396,32.45791140012443,32.5579219001811,,,,,,,,,,,,,,,,,10,001,2021_Dec_01_1445,ShapeDimExp,2021.2.3,60.247024866689465,
square,square.png,squaredim.png,left,0,1,1,26,,,,,,,,,,,left,0.604562200140208,34.956036100164056,None,34.46034730016254,34.8720379001461,34.956036100164056,35.05538180004805,,,,,,,,,,,,,,,,,10,001,2021_Dec_01_1445,ShapeDimExp,2021.2.3,60.247024866689465,
square,square.png,squaredim.png,left,0,2,2,29,,,,,,,,,,,left,0.4174411999993026,37.4555009000469,None,36.96455720020458,37.372218400007114,37.4555009000469,37.55566420010291,,,,,,,,,,,,,,,,,10,001,2021_Dec_01_1445,ShapeDimExp,2021.2.3,60.247024866689465,
circle,square.png,circledim.png,right,0,3,3,13,,,,,,,,,,,left,0.50727319996804,39.93880230002105,None,39.4467505000066,39.85473750019446,39.93880230002105,40.0383421999868,,,,,,,,,,,,,,,,,10,001,2021_Dec_01_1445,ShapeDimExp,2021.2.3,60.247024866689465,
square,circle.png,squaredim.png,left,0,4,4,19,,,,,,,,,,,right,0.6204899000003934,42.437454800121486,None,41.94940540008247,42.35434309998527,42.437454800121486,42.53727750014514,,,,,,,,,,,,,,,,,10,001,2021_Dec_01_1445,ShapeDimExp,2021.2.3,60.247024866689465,
square,square.png,squaredim.png,left,0,5,5,23,,,,,,,,,,,left,1.3429926000535488,44.953597200103104,None,44.46177719999105,44.87023410014808,44.953597200103104,45.05349890002981,,,,,,,,,,,,,,,,,10,001,2021_Dec_01_1445,ShapeDimExp,2021.2.3,60.247024866689465,
circle,square.png,circledim.png,right,0,6,6,14,,,,,,,,,,,left,0.5549584000837058,47.43724480015226,None,46.944874100154266,47.35320010012947,47.43724480015226,47.53682390018366,,,,,,,,,,,,,,,,,10,001,2021_Dec_01_1445,ShapeDimExp,2021.2.3,60.247024866689465,
square,square.png,squaredim.png,left,0,7,7,22,,,,,,,,,,,left,0.3990517999045551,49.95313740009442,None,49.46043960005045,49.869598700199276,49.95313740009442,50.053344500018284,,,,,,,,,,,,,,,,,10,001,2021_Dec_01_1445,ShapeDimExp,2021.2.3,60.247024866689465,
circle,circle.png,circledim.png,right,0,8,8,6,,,,,,,,,,,right,0.5340507000219077,52.43616560008377,None,51.9428386001382,52.35235180007294,52.43616560008377,52.53609549999237,,,,,,,,,,,,,,,,,10,001,2021_Dec_01_1445,ShapeDimExp,2021.2.3,60.247024866689465,
square,square.png,squaredim.png,left,0,9,9,25,,,,,,,,,,,left,0.5642893000040203,54.935348000144586,None,54.4431941001676,54.851568600162864,54.935348000144586,55.03577390010469,,,,,,,,,,,,,,,,,10,001,2021_Dec_01_1445,ShapeDimExp,2021.2.3,60.247024866689465,
circle,square.png,circledim.png,right,0,10,10,7,,,,,,,,,,,left,0.36801610002294183,57.45165320020169,None,56.96832550014369,57.367977200075984,57.45165320020169,57.55180470016785,,,,,,,,,,,,,,,,,10,001,2021_Dec_01_1445,ShapeDimExp,2021.2.3,60.247024866689465,
square,circle.png,squaredim.png,left,0,11,11,21,,,,,,,,,,,right,0.5752049000002444,59.93461180012673,None,59.442930600140244,59.851542700082064,59.93461180012673,60.03435400011949,,,,,,,,,,,,,,,,,10,001,2021_Dec_01_1445,ShapeDimExp,2021.2.3,60.247024866689465,
circle,square.png,circledim.png,right,0,12,12,9,,,,,,,,,,,left,0.5346707000862807,62.43341689999215,None,61.95423260005191,62.36695930012502,62.43341689999215,62.534072200069204,,,,,,,,,,,,,,,,,10,001,2021_Dec_01_1445,ShapeDimExp,2021.2.3,60.247024866689465,
circle,square.png,circledim.png,right,0,13,13,8,,,,,,,,,,,left,0.4714300998020917,64.93299790006131,None,64.44990690005943,64.85002090013586,64.93299790006131,65.03291090019047,,,,,,,,,,,,,,,,,10,001,2021_Dec_01_1445,ShapeDimExp,2021.2.3,60.247024866689465,
circle,circle.png,circledim.png,right,0,14,14,0,,,,,,,,,,,right,0.4874487998895347,67.44959730003029,None,66.95432140002958,67.36567840003408,67.44959730003029,67.54965690011159,,,,,,,,,,,,,,,,,10,001,2021_Dec_01_1445,ShapeDimExp,2021.2.3,60.247024866689465,
square,square.png,squaredim.png,left,0,15,15,24,,,,,,,,,,,left,0.43488329998217523,69.96585150016472,None,69.4860995002091,69.89896030002274,69.96585150016472,70.06579900020733,,,,,,,,,,,,,,,,,10,001,2021_Dec_01_1445,ShapeDimExp,2021.2.3,60.247024866689465,
square,circle.png,squaredim.png,left,0,16,16,18,,,,,,,,,,,right,0.3019662001170218,72.44817330013029,None,71.95128490007482,72.36481280019507,72.44817330013029,72.54893960012123,,,,,,,,,,,,,,,,,10,001,2021_Dec_01_1445,ShapeDimExp,2021.2.3,60.247024866689465,
circle,circle.png,circledim.png,right,0,17,17,2,,,,,,,,,,,left,0.5374504001811147,74.94757140008733,None,74.46583960019052,74.88122189999558,74.94757140008733,75.0483782000374,,,,,,,,,,,,,,,,,10,001,2021_Dec_01_1445,ShapeDimExp,2021.2.3,60.247024866689465,
circle,square.png,circledim.png,right,0,18,18,11,,,,,,,,,,,left,0.5630320000927895,77.44914440019056,None,76.97723140008748,77.38128710002638,77.44914440019056,77.54968250007369,,,,,,,,,,,,,,,,,10,001,2021_Dec_01_1445,ShapeDimExp,2021.2.3,60.247024866689465,
circle,circle.png,circledim.png,right,0,19,19,3,,,,,,,,,,,right,0.4053823999129236,79.93075689999387,None,79.44940590020269,79.86340570007451,79.93075689999387,80.03151360014454,,,,,,,,,,,,,,,,,10,001,2021_Dec_01_1445,ShapeDimExp,2021.2.3,60.247024866689465,
circle,circle.png,circledim.png,right,0,20,20,1,,,,,,,,,,,right,0.4700279999524355,82.44761790009215,81.96183080016635,81.96183080016635,82.3631655999925,82.44761790009215,82.54725980013609,,,,,,,,,,,,,,,,,10,001,2021_Dec_01_1445,ShapeDimExp,2021.2.3,60.247024866689465,
circle,square.png,circledim.png,right,0,21,21,12,,,,,,,,,,,left,0.6188837999943644,84.94621070008725,None,84.46533000003546,84.87910970021039,84.94621070008725,85.04644650011323,,,,,,,,,,,,,,,,,10,001,2021_Dec_01_1445,ShapeDimExp,2021.2.3,60.247024866689465,
square,circle.png,squaredim.png,left,0,22,22,20,,,,,,,,,,,right,0.4288004001136869,87.445527800126,None,86.96578950015828,87.37885280000046,87.445527800126,87.54538180003874,,,,,,,,,,,,,,,,,10,001,2021_Dec_01_1445,ShapeDimExp,2021.2.3,60.247024866689465,
circle,circle.png,circledim.png,right,0,23,23,5,,,,,,,,,,,right,0.3915808000601828,89.94462080020458,None,89.4646961002145,89.8784442001488,89.94462080020458,90.04518070002086,,,,,,,,,,,,,,,,,10,001,2021_Dec_01_1445,ShapeDimExp,2021.2.3,60.247024866689465,
circle,circle.png,circledim.png,right,0,24,24,4,,,,,,,,,,,right,0.5290551001671702,92.46095290011726,None,91.96617150004022,92.37861470016651,92.46095290011726,92.56150500010699,,,,,,,,,,,,,,,,,10,001,2021_Dec_01_1445,ShapeDimExp,2021.2.3,60.247024866689465,
square,circle.png,squaredim.png,left,0,25,25,17,,,,,,,,,,,right,0.46892210002988577,94.94433349999599,None,94.46343370014802,94.87716490007006,94.94433349999599,95.04447240009904,,,,,,,,,,,,,,,,,10,001,2021_Dec_01_1445,ShapeDimExp,2021.2.3,60.247024866689465,
square,square.png,squaredim.png,left,0,26,26,28,,,,,,,,,,,left,0.5525533000472933,97.46001200005412,None,96.96510820020922,97.37730630021542,97.46001200005412,97.56210930016823,,,,,,,,,,,,,,,,,10,001,2021_Dec_01_1445,ShapeDimExp,2021.2.3,60.247024866689465,
